project_id,scheme,project_name,display_name,district,pbt,mukim,developer,category,house_type,units,price_min_rm,price_max_rm,status,progress_pct,expected_completion,completed_year,latitude,longitude,location_precision,source_id,source_date,verification,snapshot,record_scope,source_row,location_text,historical_match_ids,historical_match_note
LPHS25-C-001,Rumah Selangorku,Pangsapuri Aurora,Pangsapuri Aurora,Petaling,MBSA,Sungai Buloh,Johawaki Development Sdn. Bhd.,,,90,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,1,"Hakmilik HSD 238195 PT 46907 dan HSD 259774 PT 47290 Saujana Permai, Seksyen U17 Shah Alam, Di Mukim Sungai Buloh, Daerah Petaling.",,
LPHS25-C-002,Rumah Selangorku,Pangsapuri Aranda,Pangsapuri Aranda,Klang,MBSA,Klang,Hicom Gamuda Development Sdn. Bhd.,,,458,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,2,"Di Atas Hakmilik GRN 330808 Lot 70877 Di Jalan Anggerik Aranda 31/1, Kota Kemuning, Seksyen 31, Shah Alam, Mukim Klang, Daerah Klang.",,
LPHS25-C-003,Rumah Selangorku,Pangsapuri Seri Musytari @ Subang Bestari,Pangsapuri Seri Musytari @ Subang Bestari,Petaling,MBSA,Sungai Buloh,Worldwide Holdings Berhad (Subang Bestari),,,168,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,3,"Hakmilik PM 4845 Lot 37309 dan HS(M) 10274 PT 34425 di Subang Bestari, Seksyen U5 Shah Alam, Mukim Sungai Buloh, Daerah Petaling.",,
LPHS25-C-004,Rumah Selangorku,Apartment Villa 3 Tingkat Seri Aduria @ Subang Bestari,Apartment Villa 3 Tingkat Seri Aduria @ Subang Bestari,Petaling,MBSA,Sungai Buloh,Worldwide Holdings Berhad,,,54,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,4,"Hakmilik PM 4845 Lot 37309 dan HS(M) 10274 PT 34425 di Subang Bestari, Seksyen U5 Shah Alam, Mukim Sungai Buloh, Daerah Petaling.",,
LPHS25-C-005,Rumah Selangorku,Kemuning Idaman,Kemuning Idaman,Klang,MBSA,Klang,Paramount Property Sdn. Bhd.,,,650,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,5,"Di Atas Geran 316986 Lot 170837 (Dahulunya dikenali Geran 278967, Lot 121898), Persiaran Kemuning Damai, Kemuning Utama, Seksyen 32, Shah Alam, Mukim Klang, Daerah Klang",,
LPHS25-C-006,Rumah Selangorku,De Kiara,De Kiara,Petaling,MBSA,Bukit Raja,Bandar Setia Alam Sdn. Bhd. (SP Setia Berhad) DE KIARA,,,737,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,6,"Hakmilik HS(D) 204089 PT 7716, HS(D) 295909 PT 32437, HS(D) 295910 PT 32438, HS(D) 295911 PT 32439, HS(D) 252841 PT 23564, HS(D) 303258 PT 36170, HS(D) 303259 PT 36171, HS(D) 303260 PT 36172 Setia Alam, Seksyen U13 Mukim Bukit Raja, Daerah Petaling.",,
LPHS25-C-007,Rumah Selangorku,De Bayu,De Bayu,Petaling,MBSA,Bukit Raja,Bandar Setia Alam Sdn. Bhd. (SP Setia Berhad) DE BAYU,,,723,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,7,"Hakmilik HS(D) 204089 PT 7716, HS(D) 295909 PT 32437, HS(D) 295910 PT 32438, HS(D) 295911 PT 32439, HS(D) 252841 PT 23564, HS(D) 303258 PT 36170, HS(D) 303259 PT 36171, HS(D) 303260 PT 36172 Setia Alam, Seksyen U13 Mukim Bukit Raja, Daerah Petaling.",,
LPHS25-C-008,Rumah Selangorku,De Cendana,De Cendana,Petaling,MBSA,Bukit Raja,Bandar Setia Alam Sdn. Bhd. (SP Setia Berhad) DE CENDANA,,,624,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,8,"Hakmilik HS(D) 204089 PT 7716, HS(D) 295909 PT 32437, HS(D) 295910 PT 32438, HS(D) 295911 PT 32439, HS(D) 252841 PT 23564, HS(D) 303258 PT 36170, HS(D) 303259 PT 36171, HS(D) 303260 PT 36172 Setia Alam, Seksyen U13 Mukim Bukit Raja, Daerah Petaling.",,
LPHS25-C-009,Rumah Selangorku,De Cemara,De Cemara,Petaling,MBSA,Bukit Raja,Bandar Setia Alam Sdn. Bhd. (SP Setia Berhad) DE CEMARA,,,442,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,9,"Hakmilik HS(D) 204089 PT 7716, HS(D) 295909 PT 32437, HS(D) 295910 PT 32438, HS(D) 295911 PT 32439, HS(D) 252841 PT 23564, HS(D) 303258 PT 36170, HS(D) 303259 PT 36171, HS(D) 303260 PT 36172 Setia Alam, Seksyen U13 Mukim Bukit Raja, Daerah Petaling.",,
LPHS25-C-010,Rumah Selangorku,Pangsapuri Nadayu 801,Pangsapuri Nadayu 801,Petaling,MBSA,,Teguh Majuria Sdn. Bhd.,,,263,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,10,"Di Atas Hakmilik HS(D) 265264 PT 797, Pekan Baru Subang, Daerah Petaling.",,
LPHS25-C-011,Rumah Selangorku,Pangsapuri Serai Wangi,Pangsapuri Serai Wangi,Petaling,MBSA,,PKNS & Debbins Sdn Bhd,,,104,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,11,"Sebahagian Lot 8093, Persiaran Seri Wangi, Desa Alam Seksyen U12, Shah Alam, Daerah Petaling.",,
LPHS25-C-012,Rumah Selangorku,Pangsapuri Alam Budiman,Pangsapuri Alam Budiman,Petaling,MBSA,Bukit Raja,Sin Heap Lee Dev Sdn Bhd,,,536,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,12,"PT 32411 (Lot Asal PT 20028, PT 20642 Dan PT 20643), Taman Alam Budiman, Seksyen U10 Shah Alam, Mukim Bukit Raja, Daerah Petaling.",,
LPHS25-C-013,Rumah Selangorku,De Palma,De Palma,Petaling,MBSA,Bukit Raja,Bandar Setia Alam Sdn. Bhd. (SP Setia Berhad) DE PALMA,,,730,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,13,"Hakmilik HS(D) 204089 PT 7716, HS(D) 295909 PT 32437, HS(D) 295910 PT 32438, HS(D) 295911 PT 32439, HS(D) 252841 PT 23564, HS(D) 303258 PT 36170, HS(D) 303259 PT 36171, HS(D) 303260 PT 36172 Setia Alam, Seksyen U13 Mukim Bukit Raja, Daerah Petaling.",,
LPHS25-C-014,Rumah Selangorku,Pangsapuri Tun Teja,Pangsapuri Tun Teja,Klang,MBSA,Klang,I & P Alam Impian Sdn. Bhd.,,,1291,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,14,"Di Atas HSD 150406 PT 142901, HSD 150408 LOT 142904, HSD 150409 PT 142906, HSD 150411 PT 142910, HSD 150412 PT 142911 HSD 150414 PT 142917, HSD 153594 PT 146226 Dan HSD 153595 PT 146227, Alam Impian, Seksyen 35, Shah Alam, Mukim Klang, Daerah Klang.",,
LPHS25-C-015,Rumah Selangorku,Pangsapuri Harmoni 1 @ Elmina West,Pangsapuri Harmoni 1 @ Elmina West,Petaling,MBSA,Sungai Buloh,Sime Darby Elmina Development Sdn. Bhd.,,,562,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,15,"Di Atas No. 2 (PT 54367), Jalan Casuarina U17/56, Elmina, Seksyen U17, Mukim Sungai Buloh, Daerah Petaling.",,
LPHS25-C-016,Rumah Selangorku,"Pangsapuri Kenangan, Bukit Rimau","Pangsapuri Kenangan, Bukit Rimau",Klang,MBSA,Klang,Bukit Rimau Development Sdn. Bhd.,,,86,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,16,"Di Atas No.5 (PT 99641), Jalan Sungai Congkak 32/ 41, Seksyen 32, Mukim Klang, Daerah Klang.",,
LPHS25-C-017,Rumah Selangorku,,Projek Perancangan MBPJ 017,Petaling,MBPJ,,Tact Mission Sdn. Bhd.,,,375,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; district_derived_from_pbt; project_name_not_provided_in_source,2025-Q1,LPHS baseline,17,Tact Mission Sdn. Bhd.,,
LPHS25-C-018,Rumah Selangorku,Pangsapuri Rimariang,Pangsapuri Rimariang,Petaling,MBPJ,,Radikal Kirana Sdn. Bhd. (Peter's Brickworks/Kembar Empat),,,249,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; district_derived_from_pbt,2025-Q1,LPHS baseline,18,Radikal Kirana Sdn. Bhd. (Peter's Brickworks/Kembar Empat),,
LPHS25-C-019,Rumah Selangorku,"Pangsapuri Aronia (Fasa A10), Bandar Parklands","Pangsapuri Aronia (Fasa A10), Bandar Parklands",Klang,MBDK,Klang,Gabungan Efektif Sdn. Bhd. (WCT Holdings Berhad),,,320,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,19,"Di Atas Hakmilik HSD 141418 PT 106978 (A6), HSD 141419 PT 106981 (A7), HSD 141319 PT 106870 (A9), Dan HSD 141417 PT 106976 (A10) Di Mukim Klang, Daerah Klang.",,
LPHS25-C-020,Rumah Selangorku,Bandar Bukit Raja (Seruling),Bandar Bukit Raja (Seruling),Klang,MBDK,Kapar,Sime Darby Property (Klang) Sdn. Bhd.,,,618,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,20,"Di Atas hakmilik HSD 138520 PT 69097, HSD 15134 PT 72198, Geran 154246 Lot 45390 dan Geran 164622 Lot 46961, Mukim Kapar, Daerah Klang.",,
LPHS25-C-021,Rumah Selangorku,Bandar Bukit Raja (Serunai),Bandar Bukit Raja (Serunai),Klang,MBDK,Kapar,Sime Darby Property (Klang) Sdn. Bhd.,,,570,,,Siap Dibina,100,,,,,lokasi/lot daripada masterlist LPHS; koordinat tidak disediakan,SRC-LPHS-RSKU-Q1-2025,2025-Q1,Masterlist LPHS Q1 2025 dibekalkan pengguna; rekod diekstrak terus daripada jadual sumber,2025-Q1,LPHS baseline,21,"Di Atas hakmilik HSD 138520 PT 69097, HSD 15134 PT 72198, Geran 154246 Lot 45390 dan Geran 164622 Lot 46961, Mukim Kapar, Daerah Klang.",,
